country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Belgium;106.956;116.748;124.699;129.987;137.999;144.715;150.319;157.59;170.853;183.712;196.567;206.94;214.896;217.871;229.704;240.113;248.405;262.065;270.25;283.922;300.816;309.907;320.416;328.893;350.024;368.485;389.15;413.387;424.728;418.323;434.811;451.876;461.625;470.666;485.392;498.977;511.468;530.139;550.862;567.488;586.276;606.189;626.5;647.724;669.764
Belize;0.206;0.226;0.221;0.244;0.282;0.286;0.313;0.392;0.45;0.54;0.623;0.717;0.822;0.895;0.915;0.94;0.971;1.023;1.073;1.184;1.368;1.469;1.568;1.746;1.877;1.985;2.139;2.221;2.337;2.371;2.479;2.586;2.713;2.784;2.94;3.073;3.086;3.19;3.367;3.52;3.665;3.807;3.95;4.098;4.251
Benin;3.693;4.12;4.448;4.53;4.712;5.071;5.316;5.334;5.711;5.766;6.519;7.024;7.397;8.014;8.351;9.041;9.605;10.331;10.861;11.498;12.443;13.394;14.238;15.002;16.088;16.874;18.07;19.666;21.03;21.682;22.398;23.544;25.15;27.432;29.716;30.559;31.906;34.351;37.545;40.717;44.308;48.271;52.56;57.218;62.309
Bhutan;0.196;0.244;0.28;0.313;0.349;0.375;0.413;0.509;0.606;0.669;0.758;0.821;0.858;0.906;0.946;1.024;1.105;1.186;1.272;1.382;1.511;1.652;1.838;2.043;2.24;2.46;2.712;3.134;3.539;3.77;4.17;4.67;5.066;5.339;5.653;6.067;6.58;7.124;7.634;8.199;8.965;9.691;10.568;11.552;12.541
Bolivia;10.819;11.879;12.116;12.081;12.492;12.671;12.594;13.223;14.088;15.195;16.494;17.95;18.661;19.919;21.294;22.758;24.185;25.821;27.425;27.94;29.28;30.426;31.676;33.139;35.451;38.172;41.214;44.253;47.887;49.872;52.535;56.424;60.452;65.693;70.562;74.76;78.754;83.604;89.258;94.392;99.923;105.759;111.872;118.333;125.181
Bosnia and Herzegovina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.311;14.135;16.269;18.278;19.516;20.415;21.786;23.047;25.148;27.03;29.433;32.031;34.48;34.46;35.129;36.188;36.622;38.14;39.293;40.922;42.675;44.833;47.59;49.794;52.103;54.561;57.213;60.051;63.097
Botswana;1.801;2.132;2.624;3.021;3.334;3.704;4.104;4.831;6.173;6.715;7.578;8.323;8.495;9.046;9.167;10.017;10.795;11.863;12.083;13.442;14.016;14.359;15.472;16.488;17.39;18.749;20.932;23.274;25.208;23.456;25.761;27.89;29.692;33.64;35.684;35.444;37.352;39.162;41.902;44.133;46.962;50.763;53.775;56.994;60.426
Brazil;580.91;607.892;649.297;651.785;711.145;791.6;868.46;921.984;957.021;1026.369;1020.396;1065.788;1084.026;1164.197;1258.48;1339.24;1366.249;1437.042;1458.224;1486.201;1586.027;1643.215;1720.165;1772.06;1924.535;2047.821;2193.245;2388.734;2559.271;2575.706;2802.321;2974.901;3090.409;3239.196;3315.824;3231.379;3156.685;3250.097;3366.379;3456.357;3596.841;3758.109;3923.872;4098.812;4275.645
Brunei Darussalam;NA;NA;NA;NA;NA;12.146;12.047;12.383;12.774;13.567;14.228;15.172;16.256;16.692;17.585;18.758;19.651;19.695;19.805;20.705;21.771;22.86;24.12;25.282;26.093;27.01;29.055;29.872;29.85;29.531;30.667;32.48;33.405;33.269;33.035;33.244;32.76;33.82;34.662;35.92;38.356;40.554;42.832;44.75;46.616
Bulgaria;39.608;45.653;50.51;54.063;58.59;61.531;66.097;70.915;75.178;77.735;73.305;67.634;63.346;57.309;56.387;56.648;53.045;53.072;56.279;56.809;60.986;64.673;69.597;74.545;81.478;90.001;99.099;109.235;118.066;114.7;117.572;122.327;124.712;127.527;132.274;138.29;145.222;153.596;162.186;171.185;180.17;189.405;198.613;208.26;218.4
Burkina Faso;2.382;2.677;2.882;2.959;3.115;3.577;3.939;4.027;4.41;4.682;4.828;5.444;5.581;5.911;6.116;6.601;7.463;8.071;8.758;9.536;9.933;10.822;11.472;12.597;13.516;15.144;16.536;17.723;19.116;19.832;21.758;23.684;25.696;27.662;29.392;30.855;33.028;35.775;39.147;42.222;45.629;49.372;53.392;57.729;62.424
Burundi;1.393;1.71;1.796;1.936;2.009;2.317;2.44;2.638;2.868;3.021;3.243;3.546;3.663;3.516;3.454;3.247;3.042;3.107;3.291;3.378;3.515;3.652;3.797;3.963;4.223;4.545;4.936;5.243;5.605;5.863;6.235;6.622;7.049;7.599;8.088;7.849;7.847;7.995;8.202;8.384;8.593;8.814;9.036;9.263;9.496
Cabo Verde;0.231;0.275;0.3;0.341;0.367;0.411;0.432;0.462;0.506;0.556;0.581;0.609;0.642;0.705;0.77;0.845;0.918;1.006;1.103;1.251;1.372;1.488;1.592;1.743;1.878;2.049;2.303;2.583;2.809;2.794;2.868;3.044;3.136;3.217;3.296;3.364;3.559;3.76;4.047;4.325;4.629;4.96;5.312;5.688;6.092
Cambodia;NA;NA;NA;NA;NA;NA;NA;4.322;4.905;5.267;5.525;6.145;6.73;7.167;7.919;8.569;9.24;9.776;10.349;11.833;13.255;14.706;15.921;17.596;19.938;23.284;26.572;30.073;32.709;32.987;35.361;38.652;42.274;46.181;50.395;54.502;58.846;64.149;70.662;76.934;83.774;91.236;99.244;107.872;117.212
Cameroon;10.869;13.926;15.905;17.659;19.663;21.929;23.89;23.954;22.848;23.324;22.706;22.59;22.4;22.207;22.115;23.325;24.919;26.695;28.317;29.893;31.647;33.754;35.741;38.068;41.743;43.913;46.806;50.42;53.194;54.778;57.313;60.926;64.916;69.625;75.086;80.155;84.75;89.41;95.309;100.884;107.174;114.321;122.4;131.393;141.268
Canada;288.415;326.761;335.888;358.123;392.972;424.607;442.441;471.847;510.03;542.31;563.526;570.434;588.688;618.671;660.282;692.274;716.363;759.902;798.411;851.741;915.876;952.707;996.977;1033.778;1094.384;1164.614;1231.472;1290.766;1329.13;1300.044;1355.825;1427.706;1480.733;1541.821;1615.4;1643.479;1678.881;1761.446;1838.258;1899.935;1971.768;2047.812;2124.775;2204.142;2286.73
Central African Republic;1.01;1.249;1.279;1.249;1.422;1.522;1.664;1.705;1.796;1.937;2.037;2.089;2.031;2.055;2.362;2.488;2.378;2.518;2.631;2.746;2.707;2.839;2.944;2.931;3.007;3.192;3.445;3.68;3.85;3.988;4.221;4.49;4.808;3.112;3.172;3.344;3.539;3.769;4.008;4.262;4.562;4.887;5.234;5.605;6.003
Chad;1.917;1.871;2.094;2.516;2.744;3.055;3.302;3.507;3.905;4.137;4.429;5.056;5.294;5.307;5.719;5.793;6.024;6.474;7.002;7.055;7.149;8.158;8.991;10.506;14.417;16.101;16.696;17.705;18.603;19.52;22.433;22.929;25.427;27.362;29.789;30.632;29.229;29.071;30.507;31.76;34.152;36.536;39.262;41.682;44.115
Chile;38.449;44.701;41.014;41.426;45.447;47.807;51.499;56.246;62.473;71.807;77.229;86.001;97.753;106.795;114.597;127.347;138.587;151.433;159.817;161.374;173.786;183.466;192.136;203.711;224.256;244.52;267.836;288.542;304.648;302.078;323.399;350.359;376.12;398.214;412.76;426.676;438.397;452.26;481.92;502.846;528.3;556.616;586.313;617.547;650.075
China, People's Republic of;305.579;351.548;406.864;468.46;559.14;654.702;727.324;832.515;958.404;1037.812;1118.514;1263.884;1476.25;1721.287;1986.586;2249.709;2517.703;2796.741;3048.823;3330.996;3695.688;4092.291;4537.284;5084.531;5751.493;6604.643;7670.133;8998.799;10059.135;11088.727;12402.885;13864.863;15247.14;16724.781;18277.817;19742.406;21290.133;23156.725;25278.767;27308.857;29471.474;31854.483;34345.342;36994.525;39814.788
Colombia;78.561;87.951;94.271;99.505;106.55;113.335;122.351;132.108;142.325;152.955;165.474;175.128;186.917;202.272;217.225;233.318;242.474;255.117;259.458;252.14;265.315;275.683;287.057;303.844;328.665;354.852;390.376;428.317;450.87;459.783;485.363;531.984;563.35;599.412;639.372;665.125;686.039;708.404;744.308;783.002;827.662;876.416;927.51;981.546;1038.846
Comoros;0.34;0.393;0.434;0.465;0.502;0.532;0.555;0.581;0.632;0.651;0.725;0.704;0.773;0.811;0.795;0.858;0.869;0.923;0.933;0.972;0.985;1.061;1.127;1.171;1.24;1.352;1.367;1.415;1.5;1.561;1.638;1.742;1.832;1.947;2.025;2.069;2.145;2.25;2.373;2.446;2.6;2.749;2.903;3.066;3.235
Congo, Dem. Rep. of the;20.693;22.864;24.167;25.467;27.665;28.672;30.63;32.226;33.517;34.393;33.336;31.553;28.896;25.597;24.537;25.743;25.708;24.101;23.428;22.862;21.472;21.482;22.465;24.158;26.48;28.98;31.446;34.312;37.157;38.509;41.727;45.528;49.689;54.849;61.155;66.065;68.351;72.234;78.297;83.112;88.06;92.927;99.063;105.358;112.431
Congo, Republic of ;3.135;3.522;3.829;4.075;4.322;4.564;4.765;4.996;6.305;7.946;8.327;8.814;9.251;9.377;9.051;9.609;10.205;10.316;10.822;10.695;11.762;12.478;13.256;13.612;14.464;16.071;17.59;17.777;19.133;20.791;22.866;24.136;25.541;26.839;29.206;30.283;29.731;29.754;30.964;32.768;34.348;35.73;36.464;37.663;39.286
Costa Rica;8.198;8.771;8.634;9.229;10.329;10.733;11.555;12.405;13.284;14.587;15.677;16.574;18.511;20.293;21.656;23.021;23.733;25.486;27.567;29.068;30.857;32.634;34.241;36.361;38.96;41.728;46.103;51.208;54.631;54.513;57.88;61.634;65.829;68.504;72.224;75.627;79.654;83.911;88.22;91.611;95.791;100.505;105.555;111.107;117.308
Croatia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;38.417;36.181;39.134;42.605;45.934;49.831;51.33;51.584;54.714;57.845;61.847;66.511;70.975;76.194;82.321;88.999;92.577;86.481;86.201;87.702;87.328;88.423;89.98;93.1;97.39;102.123;107.362;112.589;117.928;123.392;128.725;134.009;139.485
Cyprus;3.136;3.538;3.992;4.369;4.926;5.323;5.625;6.176;6.925;7.779;8.667;9.027;10.097;10.409;11.258;12.635;13.027;13.602;14.595;15.546;16.841;17.891;18.851;19.704;21.252;22.977;24.789;26.752;28.267;27.909;28.611;29.327;29.029;27.825;27.968;28.814;30.513;32.477;34.558;36.268;38.055;39.894;41.754;43.637;45.632
Czech Republic;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;144.023;153.297;155.013;156.243;160.77;171.376;180.229;186.106;196.392;211.575;232.418;255.863;277.457;290.44;278.6;288.254;299.507;302.81;306.632;320.787;341.335;353.321;375.643;396.176;413.119;432.346;452.945;473.797;495.561;518.349
Côte d'Ivoire;15.535;17.599;18.724;18.971;19.262;20.587;22.01;22.441;23.497;25.139;25.796;26.679;27.219;27.813;28.456;30.671;33.774;36.322;38.542;39.731;39.779;40.701;40.655;40.847;42.464;44.54;46.584;48.679;50.888;52.943;54.641;53.073;59.967;66.677;73.883;81.253;88.639;97.264;107.04;117.11;128.146;139.954;152.359;165.498;179.656
Denmark;59.103;64.268;70.749;75.427;81.409;87.347;93.472;96.027;99.406;103.966;109.446;114.728;119.642;122.485;131.767;138.605;145.243;152.564;157.695;164.689;174.682;179.982;183.684;187.821;198.024;208.973;223.719;231.814;235.115;225.287;232.168;240.186;245.353;251.992;260.803;269.693;279.02;290.716;302.233;312.842;325.129;337.557;349.99;362.437;375.319
Djibouti;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.647;1.694;1.617;1.629;1.606;1.574;1.582;1.601;1.672;1.721;1.791;1.878;1.974;2.083;2.215;2.392;2.579;2.782;2.849;3.001;3.288;3.513;3.753;4.093;4.453;4.81;5.149;5.565;6.004;6.49;7.022;7.592;8.209;8.877
Dominica;0.125;0.152;0.168;0.179;0.193;0.202;0.221;0.24;0.268;0.278;0.304;0.319;0.333;0.348;0.355;0.374;0.393;0.408;0.428;0.436;0.456;0.466;0.46;0.498;0.527;0.547;0.59;0.644;0.704;0.701;0.714;0.727;0.733;0.741;0.788;0.776;0.804;0.741;0.763;0.849;0.909;0.967;1.021;1.063;1.101
Dominican Republic;13.411;15.308;16.53;17.972;18.854;19.037;20.105;22.686;23.993;26.031;25.532;26.645;30.31;33.313;34.909;37.668;40.65;45.025;48.589;52.219;55.875;58.505;62.102;62.404;65.731;74.168;83.423;92.017;96.818;98.479;107.935;113.643;118.97;126.959;138.425;149.555;161.166;171.864;188.344;201.266;215.999;231.375;247.858;265.46;284.343
Ecuador;26.142;29.731;31.947;32.269;34.837;37.52;39.46;38.021;43.489;45.323;48.433;52.632;55.777;58.24;62.017;64.744;67.071;71.18;74.333;71.832;74.24;78.914;83.447;87.311;97.024;105.339;113.306;118.898;128.916;130.635;136.816;150.664;162.217;173.228;183.119;185.209;184.832;192.772;200.188;202.773;207.785;215.545;225.838;236.134;246.938
Egypt;91.347;102.187;116.417;131.715;147.414;163.368;174.589;186.551;200.843;214.963;228.248;240.923;247.153;260.346;277.04;295.532;315.626;340.073;369.841;398.104;428.913;453.767;475.629;499.933;534.4;575.686;633.7;696.846;761.238;802.89;854.054;887.28;924.43;971.708;1018.551;1074.15;1132.445;1200.811;1295.434;1391.256;1502.128;1624.436;1755.89;1897.597;2051.993
El Salvador;10.12;10.443;10.389;10.961;11.509;11.946;12.21;12.826;13.528;14.193;15.436;16.196;17.728;19.204;20.534;21.957;22.542;23.65;24.551;25.443;26.305;27.118;27.982;28.947;29.991;31.889;34.281;35.857;37.332;36.833;38.047;40.323;42.252;43.956;45.535;47.111;48.794;50.859;53.42;55.731;58.145;60.651;63.228;65.912;68.718
Equatorial Guinea;0.09;0.105;0.114;0.124;0.13;0.151;0.151;0.161;0.171;0.176;0.187;0.191;0.26;0.294;0.351;0.453;0.704;1.776;2.241;2.874;6.185;10.114;12.29;14.327;19.185;21.406;23.489;27.806;33.393;34.099;31.418;34.167;37.717;36.792;37.629;34.557;31.836;30.909;29.848;28.97;28.071;27.143;26.126;25.79;25.57
Eritrea;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.737;2.008;2.479;2.59;2.878;3.159;3.258;3.311;2.967;3.297;3.45;3.421;3.564;3.77;3.846;4.006;3.29;3.719;4.17;5.352;5.558;5.064;6.753;5.416;5.877;5.412;6.219;6.526;6.912;7.339;8.022;8.571;9.161
Estonia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.988;11.038;11.513;12.302;14.147;14.926;15.08;16.975;18.383;19.944;21.852;23.959;27.05;30.577;33.776;32.681;28.177;29.277;32.112;33.746;34.801;36.504;37.564;38.952;41.967;45.036;47.306;49.644;52.087;54.619;57.272;60.061
Eswatini;1.05;1.229;1.324;1.368;1.453;1.527;1.848;2.083;2.32;2.638;3.006;3.163;3.339;3.524;3.686;3.945;4.171;4.375;4.539;4.741;4.932;5.094;5.401;5.715;6.081;6.647;7.258;7.784;8;8.187;8.597;8.974;9.639;10.187;10.47;10.824;11.075;11.512;12.069;12.444;12.756;13.102;13.438;13.785;14.129
Ethiopia;10.756;11.773;12.621;14.144;14.317;13.084;14.641;17.084;17.788;18.401;19.586;18.787;17.504;20.313;21.47;23.262;26.894;28.134;27.26;29.394;33.008;36.228;37.39;37.284;42.768;49.657;57.043;65.487;74.238;82.284;92.067;104.705;115.997;129.718;145.726;162.557;177.379;199.059;219.62;240.168;262.564;287.081;313.403;340.801;370.308
Fiji;1.557;1.806;1.897;1.888;2.154;2.138;2.325;2.212;2.369;2.803;3.077;3.095;3.359;3.528;3.787;3.967;4.234;4.203;4.306;4.748;4.772;4.969;5.209;5.348;5.789;5.891;6.185;6.294;6.481;6.439;6.709;7.034;7.27;7.748;8.334;8.813;9.128;9.804;10.397;10.868;11.417;12.025;12.659;13.325;14.028
Finland;45.121;50.029;54.76;58.681;62.752;67.026;70.24;74.539;81.189;88.664;92.604;90.073;89.064;90.505;96.078;102.221;107.9;116.624;124.338;131.739;142.273;149.147;154.052;160.042;170.803;181.02;194.06;209.607;215.223;198.932;207.272;217.041;218.05;220.192;222.851;226.298;234.979;246.69;256.889;264.72;273.929;283.703;293.418;303.309;313.585
France;576.441;637.723;694.091;730.224;768.026;805.175;840.582;883.441;957.976;1038.781;1109.167;1158.7;1204.061;1224.84;1280.496;1334.887;1378.537;1435.071;1503.304;1577.187;1675.709;1746.431;1794.206;1842.567;1945.716;2039.688;2152.888;2264.328;2314.253;2264.895;2335.953;2437.041;2491.564;2549.887;2621.912;2678.692;2736.077;2850.61;2970.43;3061.143;3161.335;3269.757;3381.721;3497.401;3618.885
Gabon;6.796;7.141;7.893;8.366;9.093;9.925;9.912;8.593;9.207;11.045;12.048;13.218;13.102;13.942;14.768;15.828;16.702;17.965;18.799;17.365;17.418;18.183;18.505;19.17;19.906;20.365;20.581;22.472;23.306;22.948;24.671;26.973;28.934;31.066;33.044;34.683;35.775;36.631;37.84;39.648;41.817;44.269;47.177;50.302;53.647
Gambia, The;0.74;0.733;0.939;1.108;1.06;1.134;1.184;1.247;1.313;1.424;1.561;1.649;1.716;1.824;1.8;1.899;1.99;2.053;2.211;2.386;2.574;2.782;2.734;2.977;3.272;3.295;3.376;3.572;3.869;4.158;4.455;4.179;4.482;4.692;4.711;4.954;5.102;5.449;5.947;6.448;6.997;7.542;8.109;8.695;9.295
Georgia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.51;8.33;7.623;7.985;8.985;10.102;10.533;10.991;11.444;12.257;13.132;14.855;16.139;18.237;20.559;23.767;24.815;24.092;25.896;28.346;30.724;32.322;34.442;35.803;37.204;39.736;42.625;45.398;48.522;52;55.801;59.877;64.251
Germany;867.363;950.471;1001.244;1056.632;1125.699;1186.762;1239.919;1289.255;1384.582;1495.171;1639.906;1780.331;1855.954;1881.386;1967.576;2039.797;2094.057;2168.295;2236.973;2312.061;2432.406;2527.727;2562.554;2591.669;2693.012;2797.112;2991.696;3163.471;3256.116;3094.108;3261.151;3459.55;3540.982;3618.631;3767.345;3872.877;4000.239;4176.04;4342.909;4444.368;4589.115;4751.253;4911.295;5071.465;5233.905
Ghana;12.369;13.048;12.733;12.454;14.106;15.504;16.816;18.378;20.201;21.897;23.506;25.449;27.099;29.012;30.653;32.594;34.775;37.438;39.73;42.161;44.71;47.548;50.537;54.108;58.604;64.181;70.065;74.831;83.346;88.597;96.748;115.962;128.8;141.458;148.251;153.057;159.974;176.259;191.862;209.844;226.009;240.412;256.552;274.664;294.499
