country;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Ethiopia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7.360249;8.0514374;8.2784273;8.1100798;7.6720378;10.942378;13.533486;14.270992;15.864701;17.29675;18.543547;30.648862;48.806334;55.217894;65.355375;67.694989;75.708571;82.286975;84.317615;84.70365;91.614546;89.256378;88.934283;129.89762;144.79201;138.21098;128.95956;77.43302;86.010233;94.255795;93.632601;97.324758;107.36278;103.69073;103.10411;78.238785;40.184534;42.399597;38.53378;35.186073;39.608098;45.325659;42.175501;47.501078;47.550042;54.455474;55.825596;58.558135;61.043937
Finland;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12.657802;10.733665;11.432127;12.820592;13.018718;13.907527;13.946668;14.322455;14.302894;13.646678;11.974829;10.813977;9.8419417;8.0319899;6.375619;6.7634159;7.0919399;8.2194047;10.650997;11.046546;10.893435;11.543959;13.851155;15.379206;15.179735;15.837202;16.442756;17.649202;16.535042;14.269444;13.847753;21.8778;39.2552;54.1083;56.118066;55.147327;55.31844;52.247648;46.862488;44.008572;42.486111;40.946572;40.169534;42.738291;42.647829;39.937465;38.059485;33.992674;32.653742;41.696022;47.119129;48.50428;53.909742;56.458038;60.200167;63.446164;63.011895;61.307126;59.261983
France;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21.076451;21.146371;20.829183;22.039864;25.358838;26.686671;29.093532;30.698611;31.303861;33.680575;33.635425;34.43915;35.584588;36.475055;40.221648;46.553818;49.886979;56.10401;59.995241;61.425907;61.350873;60.499686;58.880619;58.340918;60.258378;64.415398;65.938232;67.381881;64.610522;64.537232;68.777041;83.039751;85.25582;87.836535;90.602086;93.411594;94.889441;95.58176;97.957638;98.415599;98.394027
Georgia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20.374202;40.004793;49.518586;82.253937;78.60105;74.634982;71.300143;69.28147;63.00732;50.435326;39.944626;32.049433;25.532597;31.169529;41.048867;42.411722;36.598174;34.828351;34.661776;35.588865;41.4448;44.441718;44.801842;43.3224
Germany;18.880699;16.747773;15.762683;20.637223;21.890181;20.284368;18.879342;18.143703;18.001359;17.735353;16.571999;16.365389;15.909208;16.681796;16.699555;17.32554;18.12119;20.80627;20.881795;18.779956;17.725514;17.805423;18.027715;17.389645;18.59122;23.745988;25.17315;26.130363;27.469139;28.347167;30.245446;33.736863;36.571678;38.104849;38.799812;39.373047;39.230407;40.255004;40.673404;39.33696;40.885552;38.98455;41.453709;45.095352;47.537045;54.902487;57.793929;58.866634;59.534953;60.139841;59.067418;57.939048;59.707705;63.315247;64.997702;67.359755;66.720362;64.012162;65.54257;73.012311;82.306504;79.72902;81.054744;78.636207;75.570722;72.010614;69.107272;65.189631;61.690901
Greece;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.589476;8.9592051;9.6821255;11.475025;12.329861;12.697104;14.331312;16.017887;17.258894;18.74575;18.637024;19.001988;19.891887;16.408394;17.321301;18.987198;18.482398;18.646786;24.18004;22.518838;22.526223;26.681415;29.309887;33.590688;40.060601;46.621267;47.14196;52.412722;57.069116;59.821386;73.154533;74.682792;79.967711;100.28848;98.295613;98.989942;101.33544;99.45167;97.424619;98.906487;104.93462;107.08109;104.86293;101.45608;102.87018;107.39202;103.57382;103.10277;109.41568;126.7448;146.24985;180.564;159.5861;177.94569;180.21169;177.82498;181.07359;179.27488;184.85087
Honduras;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;236.54303;135.41477;123.19663;111.73685;85.496498;65.378485;64.642801;70.841292;64.241208;68.32121;61.500512;58.69819;53.079164;57.618323;56.811273;43.59462;28.673129;17.006792;18.492319;21.625109;24.348542;26.932103;30.511804;37.119707;37.629795;37.888568;38.653576;40.212417;41.246755
Hungary;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;70.698182;63.661308;74.249382;76.495086;87.253663;86.010975;83.989946;71.184228;61.753457;59.670132;59.546864;54.785854;51.381699;54.614362;57.146151;58.02943;59.954384;64.091419;64.978645;70.956735;77.150579;79.728451;79.913427;77.581743;75.986877;75.251349;74.739415;73.933905;71.495061;69.00876
Iceland;14.551616;14.449046;13.642236;10.718979;9.255047;8.5625906;6.7108068;6.6477082;5.1131326;4.9617047;13.63206;8.4949271;7.466512;7.8944387;7.9748071;7.7793918;5.563;8.7958246;14.221076;14.641349;11.442099;11.748565;14.543656;11.46252;12.541627;16.387483;17.174001;18.375301;19.803421;21.067239;24.767629;22.363851;28.936106;30.73097;32.400834;31.98897;29.839873;27.303409;30.56381;35.256182;35.459521;37.575186;45.357888;52.241602;54.752331;58.007086;55.174835;51.969959;43.481947;38.915718;37.228289;42.392958;39.079703;38.056286;32.732596;24.47716;29.002134;27.05371;66.145518;80.920857;85.383439;92.031325;89.369229;81.788927;78.770279;65.03055;51.248888;43.14725;37.619101
India;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75.332242;77.405385;76.978197;73.464402;69.653843;65.976647;67.818039;68.089899;70.038468;73.649085;78.729652;82.851174;84.243037;83.2886;80.893794;77.108313;74.026518;72.743971;71.093874;66.035637;68.292827;67.658236;67.379375;66.827157;68.775815;67.670485;67.831525;68.052671
Indonesia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;87.437299;73.702115;62.339381;55.642692;51.328172;42.611727;35.847734;32.333333;30.252037;26.483126;24.524583;23.106018;22.960397;24.846708;24.681631;27.013304;27.955461;29.401191;30.094187
Ireland;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;63.47916;64.623833;68.805731;73.475875;86.176783;90.26263;92.990989;107.26823;108.30134;106.54462;97.954384;92.688239;93.795469;90.598423;93.400815;88.050682;78.549092;69.857561;61.599689;51.480449;46.647056;36.075683;33.246182;30.554399;29.930472;28.215214;26.07615;23.616365;23.908378;42.407312;61.552188;86.007275;111.11236;120.03538;120.01817;104.5255;76.808011;73.959208;67.838294;63.654475
Israel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;260.55933;284.06981;199.06645;162.53146;143.28344;145.41436;147.47011;138.3071;123.70688;119.67702;118.35043;110.22861;97.991238;96.00076;94.018888;95.70143;89.782655;79.638796;83.724553;90.220149;92.88658;91.32332;88.183521;80.036029;73.044113;71.862562;74.546161;70.693952;68.732467;68.451406;67.110023;65.850049;63.892102;62.048196;60.507017;60.872467
Italy;30.176986;30.534185;32.470741;33.291568;34.943555;34.828031;33.816953;33.138447;33.022083;34.170098;30.543763;29.173001;28.148268;26.411152;26.442658;27.592475;32.50438;32.336082;34.824067;35.506149;36.590862;41.435898;47.084871;49.903746;49.657157;56.597041;56.002085;54.560254;58.340435;57.22149;53.51769;55.784596;60.252934;66.227404;71.473545;77.199486;81.222793;85.036607;86.677782;89.042121;92.339982;95.564964;102.22265;112.06572;118.06382;119.75714;119.42749;117.04861;114.46433;113.59814;109.21956;109.32131;106.70992;105.79304;105.38252;106.83428;107.0286;104.21382;106.50454;116.9119;119.68134;120.49883;127.38521;133.10612;135.82328;135.54402;135.2363;134.8107;135.47703
Japan;NA;NA;NA;NA;NA;13.796085;15.212764;12.28054;13.109766;12.384176;10.63945;8.6237783;9.2095262;8.8441312;8.7102571;9.9909301;11.459569;11.603324;12.073946;11.684593;11.492769;12.878515;16.659116;16.241153;17.067658;21.342959;26.664048;31.777986;39.894297;44.763613;48.812542;53.951539;58.96246;64.917734;66.967379;69.683304;75.544721;77.26882;73.210008;66.847012;64.304188;63.492261;67.993642;74.19149;84.992414;95.897719;101.03441;106.67657;117.941;131.1204;137.89091;146.83209;156.82421;162.73065;171.65979;176.78345;176.38531;175.42618;183.41573;201.04331;207.85152;222.08705;229.00781;232.46915;236.06878;231.55072;236.33459;234.98791;237.12955
Kazakhstan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;38.862401;23.99743;21.472108;12.703917;17.969466;22.466283;32.700937;25.335294;20.470313;17.59187;14.962494;11.391569;8.0994919;6.6673104;5.8736247;6.7658701;10.227029;10.682735;10.161007;12.125267;12.602508;14.496344;21.881937;19.677354;20.347475;21.008147
Kiribati;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.1067129;4.270464;6.5581323;7.341487;9.3535563;13.693227;15.038279;15.03377;13.42023;12.785166;11.192628;13.239291;11.850994;15.395675;11.776152;11.247671;11.983517;10.53448;11.340451;9.9252963;12.892984;9.3451882;8.4660247;8.0172681;7.4363357;8.2997985;8.6984236;19.899087;21.941433;21.619792;20.5669
Korea, Republic of;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33.060818;35.039375;37.689083;39.705642;40.781402;41.217857;40.051793;NA
Kosovo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.1187499;5.9041398;5.2497415;8.1556217;8.9890603;10.571749;13.047999;14.348983;16.305027;16.968193
Kyrgyz Republic;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;42.400659;52.425663;57.651788;64.802583;85.123349;119.56963;123.30265;108.20749;107.94147;108.23028;92.666456;85.660709;73.35469;57.743779;49.011562;58.494401;59.69859;50.055759;50.477879;47.124756;53.596786;67.087345;59.072818;58.786107;56.025542
Latvia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.473732;8.7358208;7.2664213;9.540077;14.42253;14.75851;17.484983;14.904045;14.346798;13.804145;11.158367;9.1659169;7.2379055;16.252397;32.706199;40.40424;37.485638;36.72248;35.83692;38.47725;34.939433;39.067375;39.976242;35.9305
Lithuania;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.527578;13.912623;15.371362;16.539061;22.699633;23.487829;22.894713;22.137863;20.366022;18.667273;17.626122;17.242698;15.873261;14.564653;29.013744;36.215653;37.183316;39.77423;38.76069;40.546341;42.58225;39.932887;39.420177;34.172666
Luxembourg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.7902967;9.2740029;9.7991334;9.9554367;9.9506519;10.350475;8.5313181;7.1530202;5.8895254;5.0723179;4.6980248;4.0638627;4.8064114;6.0035475;5.4728014;8.9343478;8.6545447;8.544684;8.0764697;7.128814;6.4893368;6.890909;6.7938648;6.8493726;7.2523948;7.4013519;7.7756054;7.7116321;14.907222;15.723543;19.785802;18.703014;21.720167;23.685252;22.740912;22.193033;20.682513;22.959784;21.428523
Malaysia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;74.128761;67.319458;59.108779;51.133927;43.723142;38.165918;32.76919;29.62035;33.636423;34.362522;32.517879;38.06477;39.532114;41.393131;41.960132;40.777806;39.661654;39.348266;39.360816;50.408141;51.212214;51.898305;53.78749;55.656429;55.373089;56.970778;55.787508;54.42166;55.568668
Malta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;37.751959;42.886859;50.661979;55.301501;66.158555;60.896439;65.236849;63.198966;69.041768;71.917576;70.035908;64.47884;62.260026;62.607254;67.648074;67.460777;70.207946;67.73244;68.364236;63.408575;57.885236;55.360572;49.922379;45.965745
