"","freedom_uv","equality_uv","control_uv"
"1",0.759066690221577,0.224396875598187,0.506621999572235
"2",0.356787025058153,0.581901101461178,0.491994129561814
"3",0.552758650502753,0.548904688332127,0.287273621337979
"4",0.402907286994418,0.661430613268419,0.3128091544622
"5",0.851761326819226,0.297492976793032,0.276669664990248
"6",0.362554386785239,0.673961423753033,0.346354710642064
"7",0.211157056504255,0.73901319793306,0.445141534082152
"8",0.451710992555812,0.493828858172296,0.501019067032084
"9",0.527041848767066,0.600141285933357,0.243744626975857
"10",0.386150591120722,0.606700155006157,0.416683443203973
"11",0.730113434820832,0.348362366875712,0.358145636675892
"12",0.394947601343874,0.577749922187431,0.44871720594471
"13",0.432087387307864,0.561691863418694,0.42463353747312
"14",0.377978520231047,0.588804024430418,0.454142461564627
"15",0.755420561730503,0.317586149189643,0.371500699378361
"16",0.974737251709455,0.0466387733526595,0.493593106406067
"17",0.311040305794469,0.727685445577596,0.332560253996848
"18",0.50528719859285,0.437875908462403,0.51548328430371
"19",0.28476049096734,0.584886908674346,0.580955141035838
"20",0.467917911145492,0.57896345361938,0.352229755299252
"21",0.591257346961633,0.396615403964927,0.465872674204027
"22",0.490302820771038,0.49002662664905,0.456658994336222
"23",0.671118712265677,0.51781193141184,0.180383739732495
"24",0.554364128353007,0.358958166489453,0.57024837807816
"25",0.424828503894261,0.479576675784284,0.557283029152449
"26",0.258281057527797,0.679164317449173,0.473823086626003
"27",0.964322721266237,0.0409675967326157,0.515615025767675
"28",0.831421974268398,0.349309476129109,0.22529409319663
"29",0.240920083077331,0.536431164994477,0.71054920690549
"30",0.575518117681173,0.395785118639948,0.487537614395028
"31",0.683901086072725,0.552964001110008,0.111047228489295
"32",0.541242656577731,0.649641760815014,0.15103492733283
"33",0.387383205254732,0.582496982301823,0.451406658878909
"34",0.695620205018828,0.265284206283472,0.527572109447754
"35",0.556489164031848,0.406244850438294,0.496527182884393
"36",0.609609358540964,0.421087077612659,0.405338870070124
"37",0.2839231955417,0.732683097240659,0.360239880381774
"38",0.352702709267658,0.580360969379766,0.499604133689465
"39",0.612834294647162,0.217563451470621,0.706588168001291
"40",0.208712599216778,0.760849408084972,0.415542634928789
"41",0.649435222477334,0.433972554240421,0.334334182079305
"42",0.586647334898304,0.528920576641976,0.273299618792959
"43",0.451710992555812,0.493828858172296,0.501019067032084
"44",0.515966603939332,0.430474512528964,0.512736078559868
"45",0.371534856976379,0.619939376824943,0.415776376221878
"46",0.363587172933335,0.413231913345792,0.736298269493861
"47",0.30813569445978,0.667432090151126,0.426752227131205
"48",0.445232393878461,0.496040150930042,0.506105377535601
"49",0.816031992475302,0.41342098374511,0.149046142336859
"50",0.377819263706295,0.629013113853777,0.394006264243943
"51",0.51989021168756,0.475269232867821,0.440421302509973
"52",0.725968508974873,0.419186631932448,0.257235177329819
"53",0.346620322743684,0.671712031955874,0.370402104254046
"54",0.371363917207272,0.70833828297911,0.283335650139732
"55",0.558809707238485,0.316145763765975,0.628730676964724
"56",0.280052622323691,0.773696939172015,0.303710757752079
"57",0.307945679087369,0.721910874459684,0.345241039386132
"58",0.447487656234585,0.506899833620762,0.486882164766872
"59",0.380132751485907,0.675398649468255,0.321392961522865
"60",0.440257076013506,0.579271144840775,0.387653113179024
"61",0.398281264677531,0.592509526249764,0.42224224428956
"62",0.611791616967928,0.485709886013486,0.305526674672044
"63",0.531661435416634,0.628879727849911,0.194623005575341
"64",0.468994966803566,0.511213541184572,0.452506482801914
"65",0.441963770688869,0.424587952094323,0.617575982304401
"66",0.688064453579151,0.396982514270338,0.339731375337323
"67",0.557614982567336,0.518542188156163,0.326539153536447
"68",0.223877740063393,0.676139836653215,0.522994316933691
"69",0.186823040299028,0.637865763355953,0.628505215727484
"70",0.708391605704649,0.282200508985699,0.48561671405646
"71",0.54909942418586,0.533291672201361,0.315451681518703
