"freedom_uv","equality_uv","control_uv"
0.321516428931398,0.605990361981239,0.501600220553281
0.505620183578485,0.459889831404731,0.482014439231078
0.371790912262869,0.445736309079448,0.676875171137339
0.431305649500566,0.500618407814356,0.517302197021338
0.494155752031025,0.484136694693329,0.460499657755707
0.409909218358549,0.607838255388257,0.384152784412048
0.714368652308606,0.402934491904347,0.296673972470762
0.241568725607464,0.665709286464056,0.515696735541221
0.144449054721895,0.523644546693714,0.854892774807117
0.451710992555812,0.493828858172296,0.501019067032084
0.351537203548807,0.578913710129456,0.503288113279332
0.882529216657117,0.382578293671692,0.109063981677062
0.490784426093358,0.570041943205247,0.335953171108472
0.640916836255008,0.277952308244282,0.579528863397736
0.188529111724081,0.733113496376272,0.483351185430727
0.444304839740014,0.525762071910576,0.462704273482741
0.344435645821033,0.554555934666189,0.549055482295805
0.142219059620565,0.501005898776589,0.891760200928721
0.784092128643662,0.268087011883438,0.408588949405007
0.500948780294006,0.437083979447042,0.522300094793873
0.696775399686593,0.288064316448462,0.491886753770422
0.485115598927344,0.447062515611882,0.52786584766557
0.724340600537013,0.129926013947534,0.69344788424066
0.418467653819598,0.640000586146806,0.324782875199361
0.608564304354269,0.486965435368743,0.307829316019084
0.481757641940155,0.515942653855476,0.428852033874097
0.414604109145319,0.636208313061559,0.33548631262314
0.75916409414784,0.224594205267883,0.506199497272738
0.574464893342084,0.176130210663168,0.818545706330586
0.226032317828546,0.479601331951736,0.81514946875578
0.453969436941909,0.599114681529806,0.340084011067274
0.42867213072408,0.505953131743214,0.512712773031076
0.692636515139923,0.47893150598807,0.210816981692786
0.592757662031587,0.535006754861651,0.256238850406286
0.401897306950903,0.643033191303892,0.341728907602339
0.601999435683111,0.224607753965925,0.710072946970585
0.361286861389446,0.470547086800138,0.653268182180595
0.378238578494131,0.554856741305124,0.504750633930664
0.510487957183859,0.56358409121449,0.320082732844387
0.265997494003598,0.749819505608445,0.357778312694334
0.479491098916522,0.512334950460233,0.437206651252011
0.526595260411682,0.472758786105061,0.435490160531984
0.310531391146851,0.748392372125129,0.302145069915781
0.625911472573054,0.210038107342496,0.700916281992658
0.35910409863548,0.685916899474136,0.332888971820487
0.39046429262466,0.598566591632716,0.42329341228162
0.563153949534092,0.469429891727089,0.393057382733591
0.784266130029559,0.464293369573723,0.113911333013484
0.516911611689537,0.441388322898843,0.495131462244687
