"country_text_id","year","air_wdi_env"
"ALB",1950,NA
"ALB",1951,NA
"ALB",1952,NA
"ALB",1953,NA
"ALB",1954,NA
"ALB",1955,NA
"ALB",1956,NA
"ALB",1957,NA
"ALB",1958,NA
"ALB",1959,NA
"ALB",1960,NA
"ALB",1961,NA
"ALB",1962,NA
"ALB",1963,NA
"ALB",1964,NA
"ALB",1965,NA
"ALB",1966,NA
"ALB",1967,NA
"ALB",1968,NA
"ALB",1969,NA
"ALB",1970,NA
"ALB",1971,NA
"ALB",1972,NA
"ALB",1973,NA
"ALB",1974,NA
"ALB",1975,NA
"ALB",1976,NA
"ALB",1977,NA
"ALB",1978,NA
"ALB",1979,NA
"ALB",1980,-1.58761529298086
"ALB",1981,-1.93883726980959
"ALB",1982,-1.77621070742189
"ALB",1983,-1.76583218774312
"ALB",1984,-1.71431058293668
"ALB",1985,-1.69901777908667
"ALB",1986,-1.6110090980198
"ALB",1987,-1.45410203560188
"ALB",1988,-1.39556568270651
"ALB",1989,-1.5120097436903
"ALB",1990,-0.868351502540977
"ALB",1991,-0.931180079371728
"ALB",1992,-0.272745894453762
"ALB",1993,-0.0335332095967326
"ALB",1994,0.336009100519059
"ALB",1995,0.366458444643798
"ALB",1996,0.531911371263057
"ALB",1997,0.733048395680883
"ALB",1998,0.695667841374262
"ALB",1999,0.222773340332016
"ALB",2000,0.315157523791928
"ALB",2001,0.359014860726984
"ALB",2002,0.249364876860313
"ALB",2003,0.173543588023151
"ALB",2004,0.306561864284105
"ALB",2005,0.382375477098362
"ALB",2006,0.589669576415457
"ALB",2007,0.681586221975736
"ALB",2008,0.662095776587649
"ALB",2009,0.709689298751932
"ALB",2010,0.708406937336777
"ALB",2011,0.607162624579042
"ALB",2012,0.724386345642535
"ALB",2013,0.72013655931478
"ALB",2014,0.618195043960697
"ALB",2015,NA
"ALB",2016,NA
"ALB",2017,NA
"ARG",1950,NA
"ARG",1951,NA
"ARG",1952,NA
"ARG",1953,NA
"ARG",1954,NA
"ARG",1955,NA
"ARG",1956,NA
"ARG",1957,NA
"ARG",1958,NA
"ARG",1959,NA
"ARG",1960,NA
"ARG",1961,NA
"ARG",1962,NA
"ARG",1963,NA
"ARG",1964,NA
"ARG",1965,NA
"ARG",1966,NA
"ARG",1967,NA
"ARG",1968,NA
"ARG",1969,NA
"ARG",1970,NA
"ARG",1971,NA
"ARG",1972,NA
"ARG",1973,NA
"ARG",1974,NA
"ARG",1975,NA
"ARG",1976,NA
"ARG",1977,NA
"ARG",1978,NA
"ARG",1979,NA
"ARG",1980,-0.941543040646761
"ARG",1981,-0.80475651655265
"ARG",1982,-0.784150904795697
"ARG",1983,-0.70267604862601
"ARG",1984,-0.643159512961809
"ARG",1985,-0.620677055212279
"ARG",1986,-0.547491730708494
"ARG",1987,-0.613747588994494
"ARG",1988,-0.669426271853627
"ARG",1989,-0.665882594305948
"ARG",1990,-0.574653636652434
"ARG",1991,-0.453603842584389
"ARG",1992,-0.341716251975654
"ARG",1993,-0.196497755841955
"ARG",1994,-0.145155010675012
"ARG",1995,-0.211802022235925
"ARG",1996,-0.1883540666778
"ARG",1997,-0.0961074994131001
"ARG",1998,-0.0512303670686695
"ARG",1999,-0.13908027234738
"ARG",2000,-0.079152685317933
"ARG",2001,-0.0322656820955072
"ARG",2002,-0.0695188997632211
"ARG",2003,-0.0390599409340166
"ARG",2004,-0.0918580731939467
"ARG",2005,0.0164886661786385
"ARG",2006,0.0511992271718388
"ARG",2007,0.190256546616315
"ARG",2008,0.169110455960281
"ARG",2009,0.164457180412525
"ARG",2010,0.242588382731969
"ARG",2011,0.313781803285751
"ARG",2012,0.319660167494567
"ARG",2013,0.384369983404221
"ARG",2014,0.289951406444629
"ARG",2015,NA
"ARG",2016,NA
"ARG",2017,NA
"ARM",1950,NA
"ARM",1951,NA
"ARM",1952,NA
"ARM",1953,NA
"ARM",1954,NA
"ARM",1955,NA
"ARM",1956,NA
"ARM",1957,NA
"ARM",1958,NA
"ARM",1959,NA
"ARM",1960,NA
"ARM",1961,NA
