"country_text_id","year","water_ugdp_cap_oecd_num_env","waste_ugdp_cap_oecd_num_env","GHG_ugdp_oecd_num_env","CO2_ugdp_oecd_num_env","CH4_ugdp_oecd_num_env","N2O_ugdp_oecd_num_env","SOX_ugdp_oecd_num_env","NOX_ugdp_oecd_num_env","CO_ugdp_oecd_num_env","NMVOC_ugdp_oecd_num_env","GEP_env"
"ARG",1990,-0.673815848114721,0.650693268419246,-1.55214192386619,-0.55211823393073,-2.32352057433993,-2.17670531858989,-1.61466811209595,-1.26673087504367,-1.74747010388265,-2.10969884174235,-1.53919495942936
"ARG",1991,-0.277054383994285,0.775792259793861,-1.36663370415848,-0.458924219696224,-2.15704411569012,-2.17670531858989,-1.32813790378024,-1.17278060925335,-1.56413422171744,-2.00153144634138,-1.34879567397199
"ARG",1992,-0.468827275347409,0.717366773708322,-1.15153986820917,-0.276096977998196,-2.00974620088322,-2.15656413294203,-1.30505796123896,-1.06122927244189,-1.44588295035779,-2.02641565525075,-1.23127190035147
"ARG",1993,-0.48200468639812,0.79472349341375,-1.02853795964274,-0.156626546134572,-1.9192530759377,-2.08662887638968,-1.29592864845489,-1.19545465774215,-1.61252071493493,-1.91696144611324,-1.27655639316462
"ARG",1994,-0.426247801764883,0.700796449609747,-0.90738039373797,-0.104388627008754,-1.79319531125998,-1.96551719859872,-1.09184490260584,-0.971113717442257,-1.43521857275021,-1.87736209623115,-1.07501004217179
"ARG",1995,-0.448887456468287,0.852791800981707,-0.930661535041037,-0.15192175013544,-1.79528662184196,-1.95061642134873,-1.16658349125052,-0.992038478831876,-1.2015662280984,-1.70991405217586,-1.08052817590085
"ARG",1996,-0.229804236298677,0.642461960309514,-0.883070535544831,-0.169565352850036,-1.69403928958817,-1.91164079099145,-1.01650066380655,-0.958181950381833,-1.20126436198359,-1.58796687727077,-1.01119739523896
"ARG",1997,-0.143542159356993,0.781148282563406,-0.712053819140999,-0.0542745913359927,-1.54055106870015,-1.73865987135638,-1.09202457776376,-0.970453907058892,-1.24331639804062,-1.62858436135727,-0.998148631389687
"ARG",1998,-0.354711801345667,0.414146672926857,-0.65063005435624,-0.0252825559188828,-1.48439455363304,-1.64527072637206,-1.00134423896893,-0.90226641818556,-1.11233054444309,-1.55702994526922,-0.91758524087101
"ARG",1999,-0.242764656303707,0.766796471556586,-0.703120405233029,-0.0783967640148222,-1.50489271429955,-1.71071202696474,-1.21599557686042,-0.845602614605096,-1.17145814814976,-1.6620902483588,-0.968492170983188
"ARG",2000,-0.241266633685415,0.667024386348785,-0.78691176273682,-0.108240814887277,-1.60787099603784,-1.81225999450656,-1.11864796480644,-1.02423582646816,-1.13561267611668,-1.5240176042622,-1.0345277297985
"ARG",2001,-0.287448716873451,0.796968764001392,-0.808631783536695,-0.0157697470599312,-1.69681484561418,-1.95800130506313,-1.11633815909152,-1.03923997313394,-1.19618075143812,-1.64876346582573,-1.05393659889988
"ARG",2002,-0.140377909678229,0.883352586169614,-0.94972544888767,-0.109796643142803,-1.84191967714768,-2.04953807880793,-0.968871561753701,-0.969231263019663,-1.29874425379706,-1.75694426341004,-1.03029318626313
"ARG",2003,-0.367293131686162,0.641822089009154,-0.865563755567423,-0.0317878806552514,-1.78534482530744,-1.98248765384105,-0.994384724789799,-1.05584049661864,-1.16270633072633,-1.68852373479236,-1.03996925617289
"ARG",2004,-0.23199112157693,0.62977148610154,-0.726350012377503,0.00643168444290005,-1.62172625644431,-1.79824123914926,-0.978851651443903,-0.723032210681036,-1.01799649998402,-1.39771069030505,-0.840463938658897
"ARG",2005,-0.19951589274933,0.928153480041537,-0.564411232103029,0.13024438797934,-1.49138764911386,-1.63171968653166,-0.98875305430444,-0.841879176639732,-1.01115393224979,-1.36676162991803,-0.852297754111323
"ARG",2006,-0.360798895033201,0.685533671225972,-0.446102829322016,0.211204945398003,-1.37503928463175,-1.53640037021284,-0.787710905796851,-0.661138271861032,-0.749313372319418,-1.20548190909254,-0.663874420316487
"ARG",2007,-0.266316972007572,0.483405597468003,-0.317695945067661,0.278884127387926,-1.23522218659641,-1.39178602729129,-0.917305000357966,-0.534702620762763,-0.848645077345955,-1.24159622614623,-0.623784188112608
"ARG",2008,-0.235559938413199,0.452269047249786,-0.186676294590718,0.357660751549488,-1.13424702592229,-1.18168970086801,-0.643798113096986,-0.509828522763018,-0.539926165271766,-0.959982413147749,-0.470032729266745
"ARG",2009,-0.290349184858634,0.485714617241418,-0.232805306525058,0.322449732439841,-1.15374510392091,-1.27629486774872,-0.561723916034784,-0.424809530450969,-0.587275069151729,-1.04337351049529,-0.430544756182299
"ARG",2010,-0.140431989710093,0.251901033873978,0.0909573144641403,0.430242544002981,-0.709236392829999,-0.852860286079192,-0.619728008566672,-0.396636456161841,-0.678464246200022,-0.849641436874229,-0.36334910525375
"ARG",2011,-0.0406084290498165,0.550289342357635,0.176247561457646,0.483836849948158,-0.636421733608025,-0.711633215968407,-0.58018071929631,-0.231734116981246,-0.461525654524761,-0.770773370415007,-0.233435857554542
"ARG",2012,-0.0784467350658005,0.467074178670485,0.189755596079743,0.516063498148364,-0.656141199792939,-0.705884272301719,-0.372605342780771,-0.182088461249476,-0.484207286062647,-0.695997116740221,-0.157867747909944
"ARG",2013,-0.131742844862007,0.752521871151951,0.204831060477874,0.546815834709937,-0.627094580340255,-0.781347330140005,-0.512857693894406,-0.0930586944496472,-0.235098547688643,-0.798910636587216,-0.12328222084859
