"country_text_id","year","order_safety_gdp_perc_oecd_num_ds","order_safety_gdpcapita_oecd_num_ds","hom_rate_unodc_num_ds","theft_rate_unodc_num_ds","burg_rate_unodc_num_ds","crime_rate_unodc_num_ds","orgacrime_gcr_num_ds","reliab_police_gcr_num_ds","trust_gwp_num_ds","domsec_ds"
"ALB",1992,1.52576440811634,-1.29276524222544,-0.215037510414995,-0.778137993922658,-0.821794369804748,-0.964698257375766,-0.332394617071594,-0.960507063151881,-0.829735930113731,-1.28781624590778
"ALB",1993,0.892183091532923,-1.60596164539107,-0.549342738497066,-0.692834842996617,-0.690932194323243,-0.813991775747165,-0.290375081011174,-0.859177030024254,-1.01569671912748,-1.38133799117803
"ALB",1994,0.957625293195857,-1.33279533674125,-0.0911689239735792,-0.889743101987795,-0.941551273853906,-0.862057779968878,-0.531162094213914,-0.708809627710494,-0.629508972614339,-1.0636609317426
"ALB",2001,1.05480448006803,-1.20241969230529,-0.702602001160138,-1.59238296357015,-1.2553554532079,-1.2227820263318,-0.394967040469162,-0.497820495377204,-0.684324016355439,-1.01250782337915
"ALB",2002,1.21679781605072,-0.989295374260043,-0.690655786725184,-1.56413760934272,-1.53054815326808,-1.2905155941379,-0.826075567685306,-0.651049183372245,-0.866696920571459,-1.07246715606217
"ALB",2003,1.0853131198169,-1.10425865975524,-0.481680026977453,-1.12291391493075,-1.48999759804426,-1.34468548595257,-0.404059196148506,-0.366715047560327,-0.881686757975516,-0.821490158731328
"ALB",2004,1.0760846249515,-0.937173765734174,-0.282308391115339,-0.963974063237917,-1.58211712521462,-1.17861026417272,-0.478797343504934,-0.241214989339335,-0.700774983323933,-0.620803801471843
"ALB",2005,0.888052348435369,-1.03748632434933,-0.426230126311114,-1.17463931963418,-1.70433478111891,-1.41797297359352,-0.0947823905930144,-0.305418137020939,-0.480408533732158,-0.738488475050819
"ALB",2006,0.791854385831015,-0.962638575688315,-0.00183240952472908,-1.18313439828778,-1.74163729169922,-1.43008024931958,-0.718282563349617,-0.378763881424295,-0.73107688976961,-0.667440258272807
"ALB",2007,0.809172480037255,-0.882761368145884,-0.100594651936774,-1.16877931384528,-1.79207398163057,-1.42378135251666,-1.08124445293477,-0.240093778979788,-0.73107688976961,-0.557639992637288
"ALB",2008,0.73349155826554,-0.7424677463813,0.00415749631050401,-1.12832605783283,-1.76314018983562,-1.38600770618015,-0.591478928894821,-0.278763254945021,-0.633041629194994,-0.521862700009735
"ALB",2009,0.751648417362978,-0.746168478550799,0.0818481819440649,-1.14569861765736,-1.73170639165514,-1.39713210810266,-0.176755562450203,-0.200413720318181,-0.633041629194994,-0.439526920396758
"ALB",2010,0.789635770015697,-0.836733830494325,-0.28779356461904,-1.00543726204211,-1.66533681690419,-1.2692659664032,0.140004577518075,0.159362949988444,-0.829564157570111,-0.269081354236648
"ALB",2011,0.736568477902165,-0.630320488672638,-0.386850595795571,-0.920566950733528,-1.63323209435792,-1.19228360577151,0.169231527190312,0.203201067172296,-0.341592084510429,-0.199900690918559
"ALB",2012,0.946509545138348,-0.80405968375422,-0.473131929940668,-0.836191371455177,-1.58507628438718,-1.11336678561208,-0.359519940431196,-0.205873878789085,-0.73107688976961,-0.603067841453866
"ALB",2013,0.990302230342108,-0.770364944417095,-0.272042054475402,-0.84493379634184,-1.55191676027034,-1.11679190347464,-0.631767409292488,-0.537579917381185,-1.43031083366916,-0.810363320703532
"ALB",2014,0.770818669598487,-0.840822437255989,-0.222348863167499,-0.591801754640575,-1.6060704085101,-0.898923277932598,-0.6972552910057,-0.509384054077179,-1.12779615844484,-0.794951014673981
"ALB",2015,0.988133589471948,-0.684721857649048,0.100825388535403,-0.654092860578718,-1.66292057861641,-0.959768011854525,-0.622081652990264,-0.509384054077179,-0.341592084510429,-0.667235952395976
"ALB",2016,0.660316440506735,-0.561372006617709,-0.0753549856194613,-0.8005345896646,-1.832262900827,-1.13722860576485,-0.716505584166649,0.611279470920714,-0.438304694423114,0.230286027014162
"ALB",2017,0.703664696889335,-0.530739145441886,0.275432448797842,-1.07597723294202,-2.02042200288754,-1.32064886764834,-0.604163519598243,0.516433235300016,-0.341592084510429,0.252354175117948
"ARG",1999,1.14840178737141,-1.47613995247817,-0.629021561123332,0.198509267538639,0.100492042916661,0.0611403216636406,-0.444279692875889,-1.28142525198259,-1.24681806227141,-1.7065248771729
"ARG",2000,0.809636885709318,-1.67940167046153,-0.468740135120935,0.417374989234337,0.26608364027178,0.248812402058461,-0.56004057487833,-1.37738287267238,-1.27507874482503,-1.80128124114742
"ARG",2001,0.870953689073836,-1.65235882950051,-0.506347431514797,0.223858184918613,0.267554404048264,0.0920261029618669,-0.174942773570215,-1.37887585258097,-1.33930024731083,-1.8044028691518
"ARG",2002,0.931274673619668,-1.82938651971738,-0.602319929069693,0.382364730908862,0.146336341600233,0.194746722105752,-0.509199266765145,-1.49778555704644,-1.52567599839961,-1.97604444156462
"ARG",2005,1.17710906818553,-1.74915893913029,-0.505779540734283,0.161124618016795,-0.0317459088949089,0.17375252974044,-0.407297593283712,-1.52496900030556,-1.54923167726636,-1.95028077104044
"ARG",2006,1.29184621899546,-1.51585300275313,-0.707162831618517,0.122463051507146,0.129434006236859,0.0827744195350613,-0.514266221367823,-1.57547152841099,-1.43031083366916,-1.97606863418141
"ARG",2007,0.952616144416988,-1.79704268636566,-0.610820647965124,0.0392835836917123,0.0400748686648702,-0.116963232116871,-0.565839445878979,-2.02068328737999,-1.63445140376823,-2.39237106320335
