"country_text_id","year","water_ugdp_oecd_num_env","waste_ugdp_oecd_num_env","GHG_ugdp_oecd_num_env","CO2_ugdp_oecd_num_env","CH4_ugdp_oecd_num_env","N2O_ugdp_oecd_num_env","SOX_ugdp_oecd_num_env","NOX_ugdp_oecd_num_env","CO_ugdp_oecd_num_env","NMVOC_ugdp_oecd_num_env","air_env","abstraction_env"
"ARG",1990,-1.35770040722516,-2.47217175961728,-1.53220048073312,-0.620190704360598,-2.37652293809391,-2.18818850105853,-1.69850765750556,-1.50097728057477,-1.74484112429455,-2.11840726351655,-1.51982545524445,-1.61440460501483
"ARG",1991,-1.10138597441755,-2.22143424863637,-1.358816111113,-0.522594547117309,-2.21915819733364,-2.01592507294703,-1.63547865351127,-1.34779831795477,-1.6417670256553,-2.09422886229865,-1.39008786054332,-1.42999760885835
"ARG",1992,-0.869140925585166,-2.23014529968604,-1.15519375608101,-0.329234785527168,-2.0787292823877,-2.22333717806714,-1.2303932642604,-1.27717280429544,-1.48711146539257,-1.85565086493209,-1.2330385832354,-1.12541737747142
"ARG",1993,-0.961974649160866,-1.92113307408217,-1.03748414250061,-0.20146125828601,-1.99188403515613,-2.15437673626451,-1.31369623137188,-1.10692708947092,-1.52591321351823,-2.0613870515131,-1.1297239767315,-1.24336606139897
"ARG",1994,-0.912151736078897,-2.18163697652801,-0.920628548448181,-0.145224937377995,-1.87016197419273,-2.03458147491842,-1.20763106501267,-1.10176114686303,-1.59118126714979,-1.84656502535648,-1.09528998522944,-1.22163460169961
"ARG",1995,-0.846169526961053,-1.94955314090269,-0.943153456876413,-0.196405658495908,-1.8721885544713,-2.0198096216255,-1.07638490414423,-1.22151952051185,-1.44612179674654,-1.77233619086167,-1.12792685456033,-1.02357559108421
"ARG",1996,-0.782174992236039,-1.99563467035366,-0.897072528559125,-0.215355391916222,-1.77379136205542,-1.98113655142145,-1.09573678413481,-1.0539952632682,-1.22093646878981,-1.80793791327132,-1.01885116622458,-1.03203787755177
"ARG",1997,-0.574629719787741,-1.99036624087931,-0.73032392542277,-0.0910589103332541,-1.62349693620805,-1.80888310508388,-1.21775122240456,-1.07201922082247,-1.30332911249257,-1.63716043675913,-1.0348800830722,-0.952797897598595
"ARG",1998,-0.871514765300868,-1.63659818284175,-0.66999091471928,-0.0596244704171134,-1.56816112343286,-1.71545967284719,-1.12080748172925,-1.06226509505411,-1.13607107806309,-1.5840417173895,-0.972683331133448,-1.03452630660894
"ARG",1999,-0.807214349143927,-1.78590080720646,-0.72156365643904,-0.117158170268162,-1.58838163663052,-1.78095686939868,-0.998109902977054,-0.983487334336407,-1.09298517958433,-1.59621792369119,-0.916551121860703,-0.989234210475655
"ARG",2000,-0.882663392079676,-1.87403431994065,-0.803536705501037,-0.149379782352969,-1.68958574758706,-1.88229771022879,-1.0713562744886,-1.11136965758712,-1.26838045290051,-1.55985123479653,-1.02660244771164,-1.05495822426766
"ARG",2001,-0.829320198898198,-1.97219491186098,-0.82471437376727,-0.0492943988189694,-1.77649656634012,-2.02713152328909,-1.10580759912631,-1.12262068383411,-1.41519404754741,-1.68818661471906,-1.05684813250907,-1.06410027584423
"ARG",2002,-1.09689507961685,-2.17664528379374,-0.961573153840337,-0.151057494030178,-1.91731475049778,-2.1177395417553,-1.22644684976308,-1.03916720587662,-1.43558400476753,-1.73965271803928,-1.05493141084661,-1.3517620975465
"ARG",2003,-0.919268020531264,-1.99563255897539,-0.880085954779844,-0.066684153053657,-1.86255228696173,-2.05139621609837,-1.07612531904234,-1.04569335138878,-1.29674717774384,-1.88154648652657,-1.00808868376102,-1.12700278319484
"ARG",2004,-0.895856035825772,-1.96805301195217,-0.744332751640727,-0.0251548680826642,-1.70315454094032,-1.86832857041546,-1.13202795836274,-0.887050940735704,-1.19861964457268,-1.54484086292579,-0.901116092301091,-1.18035882495239
"ARG",2005,-0.660468668187848,-1.72654893492555,-0.584910192135322,0.110271322322724,-1.57506234155527,-1.7018782545279,-0.928822536199884,-0.723740542323864,-1.02944213891374,-1.41319202900551,-0.735947336824384,-0.948857691903405
"ARG",2006,-0.590611802145703,-1.56201169298373,-0.467421260723799,0.19958652613791,-1.45985533816743,-1.60616050629658,-0.832362068227537,-0.625298212243443,-1.06513784236741,-1.44096654634296,-0.644474841929159,-0.882409358976536
"ARG",2007,-0.505044976668916,-1.41548507018387,-0.338944657914406,0.274728484388436,-1.3202968693483,-1.46031164593249,-0.823402363503374,-0.583290469488423,-0.840097121984149,-1.07826197595169,-0.581407371128444,-0.78899498659225
"ARG",2008,-0.413297179293617,-1.39522655730968,-0.206848384465022,0.362758042815065,-1.21872987711741,-1.24701920639395,-0.647572542290124,-0.548421741994374,-0.806707538724108,-1.18118504621945,-0.504701623178963,-0.665838124445602
"ARG",2009,-0.295808343699937,-1.19075200592189,-0.253470314177409,0.32333471590942,-1.23839407982733,-1.34327355898544,-0.579805785945582,-0.234525828714293,-0.934151099759068,-1.08231418944974,-0.338219405842337,-0.663904282391162
"ARG",2010,-0.177072010295694,-1.00183199265306,0.0762392155548557,0.444421501476243,-0.783636828376877,-0.909657015743625,-0.568274908595113,-0.39569338587806,-0.648248260741423,-0.948416379594983,-0.345448331897765,-0.460319188252609
"ARG",2011,-0.354835304095329,-0.807613526729691,0.1640024902667,0.505074460027107,-0.70779505207881,-0.763362637630911,-0.437472315779019,-0.304261082507472,-0.536353355849491,-0.771807711621381,-0.237365443499905,-0.514391012808596
"ARG",2012,-0.27908794845394,-0.958707275582531,0.177933620712777,0.541693211508017,-0.728373556131761,-0.757388790995496,-0.499018601155526,-0.211080679212262,-0.516900323386236,-0.846365509062238,-0.199338187746979,-0.546934132343806
"ARG",2013,-0.273595077160043,-0.522587211833242,0.193491068014062,0.576741962572957,-0.69805134592602,-0.835687279939456,-0.41502380366562,-0.0945211141406425,-0.541602731332338,-0.659168522979248,-0.111824674783262,-0.488044845082967
"ARG",2014,-0.356299729012026,-1.02629988057992,0.171483208344897,0.567584020707657,-0.724983859907337,-0.870929026696599,-0.256958071265518,-0.162768789519935,-0.532950604432815,-0.642176925669544,-0.126608767416925,-0.529650732326141
"AUS",1990,-1.01653720986124,-1.99671345050285,-2.20862508727329,-2.06294556534442,-2.50509051417444,-0.811788827770982,-1.58789071888228,-2.27562278112917,-1.84637097972248,-2.15727403562787,-2.05594887875027,-0.976638167854141
"AUS",1991,-1.04355559068556,-1.96021463297727,-2.16569625083507,-2.02419431793959,-2.47277343031269,-0.748441403997144,-1.56208769972068,-2.23092473795531,-1.82377467915282,-2.10305229347099,-2.01567125687791,-0.992916260011513
"AUS",1992,-0.861521233369706,-1.98924631707599,-2.08753506644462,-1.95959868443463,-2.40179049621866,-0.66880276138721,-1.56455750407449,-2.19977401450609,-1.79851943938005,-2.02801257413945,-1.98978123395795,-0.889754324113411
"AUS",1993,-0.841507084764086,-1.75359482627428,-1.96308321557383,-1.85990143590116,-2.27767567341374,-0.627574118489415,-1.55780378169597,-2.14268604881332,-1.77087354406367,-1.94844552463921,-1.92988341128621,-0.857402991229747
"AUS",1994,-0.654207578971221,-1.69799609895013,-1.82304912614405,-1.74858431217848,-2.14719179249019,-0.575301002052233,-1.51331520448029,-2.03610158217074,-1.71902115382421,-1.8518086313136,-1.83945683018492,-0.744744668232917
"AUS",1995,-1.23893368601051,-1.33239351581857,-1.76481189308915,-1.72588253729939,-2.06529073031418,-0.450703584049686,-1.43389133941608,-1.96597929632151,-1.63616992543658,-1.75795534924033,-1.74402850854015,-1.05364913995155
