"country_text_id","year","wealth_eco","productivity_eco","GEP_env","arate_ccp_ga","eco_equal_soc","soc_equal_soc","domsec_ds","conf_pc","cluster2","cluster3","cluster4"
"ARG",1990,-1.53719416147164,-1.14389475956137,-1.22933265546321,-0.988229570771393,-1.14319110141344,-1.58425485749733,-2.27152231653603,-2.2875876981329,"Laggard","Laggard","Laggard"
"ARG",2000,-1.07913205180244,-1.27153515653398,-0.878176095861088,-0.988229570771393,-1.2014510948167,-1.28512217185264,-2.65512197475083,-2.32827934679285,"Laggard","Laggard","Laggard"
"ARG",2010,-0.505827468166373,0.0946094883915399,-0.265136614837047,-0.988229570771393,-0.871349281525774,-1.00752685464751,-2.48829067299013,-1.475420868269,"Laggard","Laggard","Laggard"
"AUS",1990,-0.1266858774753,-0.269928079330128,-1.99014042211888,-0.929341680378254,-0.461838480287966,0.255299957372097,0.095286182051579,-0.303325876766031,"Laggard","Middle Performer","Middle Performer (high SP)"
"AUS",2000,0.625031008308329,0.76332676977593,-1.36871111701998,-0.929341680378254,-0.548817697305083,0.299096469838825,0.634300039048753,-0.116215818413311,"Top Performer","Middle Performer","Middle Performer (low SP)"
"AUS",2010,1.16636335340274,0.689483318485644,-0.805046883082433,-0.929341680378254,-0.6388612459445,0.462396142445301,1.25020624249976,-0.234711088354777,"Top Performer","Top Performer","Middle Performer (low SP)"
"AUT",1990,-0.0426936240799023,1.46492769166473,0.0380108835543789,1.34030994789965,0.682091888866218,0.0682083489421821,0.255833600195017,0.543286223950876,"Top Performer","Top Performer","Top Performer"
"AUT",2000,0.684091965087754,1.04456296407071,0.706222263713277,1.34030994789965,0.728427326654195,0.218521958957775,0.770570271505288,0.377493666335148,"Top Performer","Top Performer","Top Performer"
"AUT",2010,1.14419293066255,0.804795938081463,1.46452428847019,1.34030994789965,0.60135625768354,0.248514958816921,1.05722919438888,-0.681311281769324,"Top Performer","Top Performer","Top Performer"
"BEL",1990,-0.0820528808440471,-0.189613216973794,-0.659197809592391,-0.386550915881539,1.16460598840635,1.5509318119196,0.135334271053734,0.273835437805119,"Top Performer","Middle Performer","Middle Performer (high SP)"
"BEL",2000,0.603271951169617,0.00440841850452112,0.238071804111731,-0.386550915881539,0.98190519419162,1.99509364468258,0.359254436017594,-0.146760604986822,"Top Performer","Top Performer","Top Performer"
"BEL",2010,1.02702510982725,-0.0881057579584033,1.20754314976743,-0.386550915881539,1.13853082000798,2.16978157095564,0.867336332781957,0.109220091864869,"Top Performer","Top Performer","Top Performer"
"BRA",1990,-1.93481947825613,-0.838979323664287,-0.70866727017504,1.92753561984439,-2.0771812532442,-2.15409877357373,-2.18567701664161,-1.10887709723231,"Laggard","Laggard","Laggard"
"BRA",2000,-1.41886313212441,-0.989913815591089,-0.326452827644484,1.92753561984439,-1.90099869680383,-1.19481108577688,-2.12723000984005,-0.702962192194914,"Laggard","Laggard","Laggard"
"BRA",2010,-0.877307068083537,-0.220306485141425,-0.0156332286900561,1.92753561984439,-1.60215701924758,-1.11061545603994,-1.49240274983858,-1.25366012265967,"Laggard","Laggard","Laggard"
"CAN",1990,-0.0767253235470447,-0.484878629797837,-1.87369831521173,-0.216865029054304,-0.00788437788622265,-0.363950404350852,0.0107509573469763,0.527138141698846,"Laggard","Middle Performer","Middle Performer (high SP)"
"CAN",2000,0.638981043721679,0.210307417227159,-1.02616120930081,-0.216865029054304,-0.314325965905134,-0.0149382690187196,0.487753548863629,0.412428709982434,"Top Performer","Middle Performer","Middle Performer (low SP)"
"CAN",2010,1.09734017505397,0.156122304055638,-0.236195967564321,-0.216865029054304,-0.516569501826869,0.116699659565968,0.785020246210359,0.371497685656047,"Top Performer","Top Performer","Middle Performer (low SP)"
"CHE",1990,0.541759873143885,1.9246356937982,0.952239554502421,1.12100665065925,0.419270239626177,0.407699063470674,0.503084645405585,0.484624815054481,"Top Performer","Top Performer","Top Performer"
"CHE",2000,1.12685921413219,2.00632165233895,2.05487772617607,2.43670494878093,0.474229512495575,0.475033556081903,1.2026065669434,0.840392071563295,"Top Performer","Top Performer","Top Performer"
"CHE",2010,1.60217077469558,1.84232338181086,3.20975716648398,2.43670494878093,0.425734884982574,0.579799303282936,1.75331590213758,1.7532271618949,"Top Performer","Top Performer","Top Performer"
"CHL",1990,-1.88945241367568,0.212553091773259,-0.73942893299089,0.851477909652038,-2.04862069709214,-1.65671353414053,-0.439527732712696,1.61494030492366,"Laggard","Laggard","Laggard"
"CHL",2000,-0.98866334714136,-0.358015341526158,-0.127158293837293,0.851477909652038,-1.47831024087031,-0.784116613295373,0.104178386169175,-0.260649446614292,"Laggard","Laggard","Laggard"
"CHL",2010,-0.280133778058398,0.351167069551109,0.408492703179881,0.851477909652038,-1.2121000747804,-0.333599401837012,0.542776458608631,-0.995677747358698,"Laggard","Middle Performer","Middle Performer (low SP)"
"COL",2000,-1.67159499510283,-0.946078871408726,0.0344292063075444,1.23133386627383,-2.01941383077217,-2.72100416166089,-1.46467269185674,-0.814575209468833,"Laggard","Laggard","Laggard"
"COL",2010,-1.20785828295254,-0.546017145961535,0.428733356015001,1.23133386627383,-1.87497212305938,-2.52661969625714,-1.51164605027542,-1.41144852178231,"Laggard","Laggard","Laggard"
"CZE",1990,-1.17638128626599,0.625532768865491,-1.48607009836725,0.182827980961963,1.23238200142267,-0.0178623830884822,-1.25349086626852,0.120128755391855,"Laggard","Middle Performer","Middle Performer (high SP)"
