"country_text_id","year","investment_wdi_num_eco","Balance_wdi_num_eco","consumption_cap_wdi_num_eco","generaldebt_imf_num_eco","unemployment_pr_imf_num_eco","gdp_cap_ppp_imf_num_eco","inflation_imf_num_eco","gdp_imf_num_eco","grosscapitalformation_pwt_num_eco","wealth_eco","productivity_eco"
"ALB",1992,0.421633252395095,-0.7347774634151,-0.831598351629044,0.853667174693838,-2.18828481628841,-1.01891934120644,-2.50887202594306,-1.01603355025765,-2.24763572270192,-1.71434754636363,-1.96738586024691
"ALB",1993,0.86241117235414,1.05664321582496,-0.826846659643575,-0.0276357964188136,-1.81305925011085,-0.934298847396801,-2.00615687866629,-0.960491638644931,-1.97910710895487,-1.62478843209548,-1.58686240905268
"ALB",1994,0.37597733217183,-0.820888812967667,-0.807798190207796,-0.885980912897875,-1.42661454191473,-0.851378123697555,-1.1618165254956,-0.906546433280339,-1.72906468156281,-1.53127776769168,-1.19578316377869
"ALB",1995,0.441682851983803,1.61775967493254,-0.736312630145526,-0.66206217695877,-0.780959639684921,-0.770805149292998,-0.344031483427603,-0.854719938867539,-1.73080115332034,-1.44432318921499,-0.539457476840047
"ALB",2001,0.928990317599558,-0.346694686028171,-0.637464993117613,0.49629086229996,-1.20865357360059,-0.420063239783232,0.428325183846776,-0.643286161911623,0.213369377089653,-1.01888314662048,-0.988977118040185
"ALB",2002,0.486274633648081,-0.956826680201822,-0.578861824555985,0.59905160479865,-1.13996522756663,-0.371138049337325,-0.00752183843620792,-0.61352893673074,0.291429659856177,-0.967252855257532,-0.919052731841066
"ALB",2003,0.50117049720552,-0.653157803612317,-0.493390142946942,0.485180095616793,-1.04567049121743,-0.311598416526777,0.641410025835089,-0.577719419630831,0.660465913385954,-0.885809246594067,-0.82562312397441
"ALB",2004,0.851958000213698,-0.228339936354436,-0.462185772160499,0.399989742640213,-0.972737716915128,-0.244610810844825,0.484208856140726,-0.537897826822967,0.701521227895631,-0.813577309105432,-0.752965553209151
"ALB",2005,0.533253786583628,-0.628467606896758,-0.41432366116451,0.422687988415165,-0.93550598973622,-0.172580146455707,0.641410025835089,-0.496005219982187,0.756052609445031,-0.728578768729046,-0.717955851359017
"ALB",2006,0.632961883698492,-0.699209107984822,-0.354698405996807,0.375287266685121,-0.897735840966392,-0.0963467172980503,0.641410025835089,-0.452781087440927,1.16267656332515,-0.638666133089147,-0.681202434327562
"ALB",2007,1.0793286528638,-1.12583197225517,-0.258248008455321,0.274273698742172,-0.846498508816308,-0.0200685110669238,0.455825788281837,-0.41085159565613,1.2536601913601,-0.549142278105877,-0.630917622176931
"ALB",2008,1.45834342370743,-1.58632715920441,-0.169586023123036,0.325934370075818,-0.807380910864986,0.0633228318918898,0.375779100131595,-0.365516145051828,1.05637594889071,-0.451860334613565,-0.59438574423922
"ALB",2009,1.56311512108147,-1.56619702192183,-0.139559508730943,0.467637748604642,-0.897735840966392,0.103552058846904,0.712770509306143,-0.345424884511165,0.890893296932741,-0.39787125588904,-0.689978308108212
"ALB",2010,1.40969821562345,-1.19068046276623,-0.12514646536905,0.407648420797839,-0.922976861521058,0.148923810523401,0.302470387859784,-0.321716794565664,0.597235381589692,-0.352776068288081,-0.717244487129912
"ALB",2011,1.31662523833814,-1.34981796006482,-0.111702885319498,0.459895624509938,-0.922976861521058,0.190825600108575,0.35064676126995,-0.299077257332663,0.81246117522885,-0.30404390008373,-0.718489677561363
"ALB",2012,1.24619262424139,-1.05888902612248,-0.109662941972984,0.541988320357397,-0.846498508816308,0.221030724910466,0.790081745936326,-0.282756951126247,0.216200814946439,-0.26923579252434,-0.644082749414568
"ALB",2013,1.46543596834467,-0.944179811246554,-0.0964695117236133,0.774456587586678,-1.16304701670574,0.246555969087521,0.831265585135466,-0.269267244246873,-0.000177033052153143,-0.230388956379651,-0.97024874689097
"ALB",2014,1.36982494148878,-1.12551710004179,-0.0768974900118799,0.817114027428721,-1.33049106168754,0.279960865208554,0.966721560179231,-0.251555305349908,0.569427133948263,-0.182603815169596,-1.14212678605467
"ALB",2015,1.36962676622988,-0.854747732433447,-0.181862593383328,0.862199863231042,-1.28676826668272,0.311104049419398,0.831265585135466,-0.235634190139202,0.583866688943397,-0.162404397356888,-1.09817015534872
"ALB",2016,1.37860438037359,-0.70681010468536,-0.143847793174245,0.852025975403911,-1.06954933745644,0.350727204306997,1.1241981906002,-0.214511725068373,0.524213868160908,-0.117995171158138,-0.878056796032854
"ALB",2017,1.29575833154893,-0.699140810796615,-0.169456681597955,0.813757208801457,-0.897735840966392,0.401135013004793,0.790081745936326,-0.186906964089356,0.837403266524133,-0.0742188887292184,-0.702199911501222
"ARG",1984,-0.82021171727499,0.252026920675089,0.153706099351594,0.268799324275471,0.649855023103292,-0.0771099935097147,-0.0288002617198499,0.66341149463505,-1.01565043955743,-0.631152755830871,0.900896383213177
"ARG",1985,-0.318762323631823,1.16693345288508,0.125228164408764,0.0986270165362527,0.353952221782372,-0.12459856048991,-0.11802036495088,0.644614358150656,-1.11570804248113,-0.678522851376985,0.599454400573537
"ARG",1986,-0.672805773077114,0.449065239282829,0.0778362045361319,-0.114857403204553,0.331358922756158,-0.0619768799066715,0.215956919816735,0.68544133547545,-1.02288458307893,-0.609082009164984,0.573072065678009
"ARG",1987,-1.17114462354781,0.0586238510457006,0.121358440275413,0.120275807334009,0.399992476494973,-0.0303900743388732,-0.0591841020775562,0.708045539322959,-0.818805618928514,-0.575254561407096,0.643493009111783
