"country_text_id","year","Combined_t_GI_num_soc","poverty9010_lis_num_soc","poverty8020_lis_num_soc","femlabor_wdi_num_soc","gini_wdi_num_soc","schools_gender_wdi_num_soc","pub_serv_gender_vdem_num_soc","pub_serv_social_vdem_num_soc","v2dlunivl_vdem_num_soc","Combined_t_GI_is_na","gini_lis_is_na","poverty9010_lis_is_na","poverty8020_lis_is_na","femlabor_wdi_is_na","gini_wdi_is_na","schools_gender_wdi_is_na","pub_serv_gender_vdem_is_na","pub_serv_social_vdem_is_na","v2dlunivl_vdem_is_na","eco_inequal_soc","soc_inequal_soc"
"ALB",2001,-1.50135653252589,-0.651638586048012,-0.50471128843061,-0.44257061821226,0.959845592113166,-0.0287980331183958,0.654345150510696,-0.203043777761008,-0.160685390592376,1,1,1,1,0,0,0,0,0,0,-0.374666176213421,-1.01446050761619
"ALB",2002,-1.54685951508948,-0.412244453123859,-0.413699135569575,-0.43298057825214,0.87006861339929,0.174849579403004,0.654345150510696,-0.203043777761008,-0.160685390592376,1,1,1,1,0,0,1,0,0,0,-0.253543897968759,-0.941173621908139
"ALB",2003,-1.22307516379346,-0.272652696701763,-0.349229768647166,-0.386390502664592,0.911939801744779,0.175622068742231,0.654345150510696,-0.203043777761008,-0.160685390592376,1,1,1,1,0,0,1,0,0,0,-0.165998631717459,-0.801268648012979
"ALB",2004,-1.26442000180686,-0.443435256343314,-0.37502027475475,-0.332807234219394,0.954078251203698,0.0240100261031204,0.654345150510696,-0.203043777761008,-0.160685390592376,1,1,1,1,0,0,0,0,0,0,-0.223131723022098,-0.897863930723562
"ALB",2005,-1.21933938724459,-0.218675627864809,-0.314144536073143,-0.281955797108268,0.996492747654935,0.112103354044915,0.654345150510696,-0.203043777761008,-0.160685390592376,1,1,1,1,0,0,0,0,0,0,-0.125701761391822,-0.808072369605545
"ALB",2006,-1.12139744578325,-0.36828440579754,-0.334489178657581,-0.234652877117602,1.01974750802524,0.158347337673362,0.654345150510696,-0.203043777761008,-0.160685390592376,1,1,1,1,0,0,0,0,0,0,-0.170416207793975,-0.790655376585246
"ALB",2007,-1.11543652999878,-0.192014329687836,-0.281134482051956,-0.194622518461112,1.04308859744277,0.26489027778434,0.654345150510696,-0.203043777761008,-0.160685390592376,1,1,1,1,0,0,0,0,0,0,-0.090076013695815,-0.722719434154029
"ALB",2008,-0.9543673189398,-0.360452437769897,-0.262051595506845,-0.161408955083912,1.06651755007655,0.328308892382318,0.654345150510696,-0.203043777761008,-0.160685390592376,1,1,1,1,0,0,0,0,0,0,-0.106098771389917,-0.698692395046005
"ALB",2009,-1.00472819297181,-0.237165839846259,-0.438266724203602,-0.326062091185341,1.09592968022598,0.414895643054058,0.654345150510696,-0.203043777761008,-0.160685390592376,1,1,1,1,0,0,0,0,0,0,-0.220406588022727,-0.587625216471249
"ALB",2010,-1.21371502936205,-0.0317141780122277,-0.271721293189899,-0.159631474018183,1.12548465104324,0.449787045369437,0.654345150510696,-0.0588203628328079,-0.160685390592376,1,1,1,1,0,0,0,0,0,0,-0.0467369350592202,-0.599253099972275
"ALB",2011,-1.04852468420677,-0.30156879293383,-0.32683090112249,-0.148935444510788,1.15518564620936,0.476463676020565,0.654345150510696,-0.0588203628328079,-0.160685390592376,1,1,1,1,0,0,0,0,0,0,-0.142875437000314,-0.585255439788227
"ALB",2012,-1.08407472069142,-0.263628747148706,-0.345052143915564,-0.131150730419045,1.18503592336127,0.529419134440808,0.654345150510696,-0.0588203628328079,-0.160685390592376,1,1,1,1,0,0,0,0,0,0,-0.149301646661297,-0.561304245700524
"ALB",2013,-1.26190921095998,-0.350267556676461,-0.287881510022918,-0.321813906958371,1.18503592336127,0.592662138420717,0.654345150510696,-0.0588203628328079,-0.118569090058307,1,1,1,1,0,0,0,0,0,0,-0.125327093577266,-0.664534673561124
"ALB",2014,-1.15262490727674,-0.50533924565491,-0.273505071555928,-0.413741382018503,1.18503592336127,0.575007257242879,0.654345150510696,-0.0588203628328079,-0.104530323213617,1,1,1,1,0,0,0,0,0,0,-0.144306412145619,-0.684616397148368
"ALB",2015,-1.25685237807029,-0.575774350527016,-0.490323625452836,-0.229354259444467,1.18503592336127,0.561507983741854,0.654345150510696,-0.0588203628328079,-0.104530323213617,1,1,1,1,0,0,0,0,0,0,-0.332892829213713,-0.654043722830278
"ALB",2016,-1.05008242184872,-0.593673073298871,-0.286762166762999,-0.24538992980319,1.18503592336127,0.54505394677796,0.654345150510696,-0.0588203628328079,-0.111136801728765,1,1,1,1,0,0,0,0,0,0,-0.171168756183919,-0.670259091836409
"ALB",2017,-1.22873186360517,-0.150561567260623,-0.30702606247389,-0.250169233956397,1.18503592336127,0.541978697742538,0.654345150510696,-0.0588203628328079,-0.35475069697485,1,1,1,1,0,0,1,0,0,0,-0.0995555742935211,-0.593339206875278
"ARG",1984,-1.50148337762331,-0.558192242369715,-0.48067447679443,-1.033357551922,-0.239766303707668,-0.117098244802022,0.469928347324236,0.431744325469014,0.690724528047331,1,1,1,1,1,0,0,1,1,0,-0.345971699553473,-0.999892084838381
"ARG",1985,-1.36552017145448,-0.649174811163388,-0.45230174719493,-0.86132015096443,-0.273427513175942,0.0463674665839001,0.466692135392244,0.483490499688868,0.690724528047331,1,1,1,1,1,0,0,1,1,0,-0.338388021412664,-0.9168781899246
"ARG",1986,-1.38345311808928,-0.710649461296521,-0.711782760735247,-0.854756974016302,-0.307019599216955,0.0322307024830454,0.47320847150787,0.378169908747208,0.690724528047331,1,1,1,1,1,0,0,1,1,0,-0.559320199253063,-0.879057273868301
